ID_Contrato,Nome_Assessoria,Data_Envio_Assessoria,Dias_Em_Atraso_Inicial,Valor_Inadimplente_Inicial,Status_Cobranca,Score_Interno_Risco,Regiao_Cliente
CONTR_2026_00031,Nexus Mediação Financeira,2026-04-30,112,"R$ 2.780,16",Ajuizado,58.0,Nordeste
CONTR_2026_00032,Fênix Recuperação de Crédito,2026-04-28,144,"R$ 8.783,75",Ajuizado,40.0,Nordeste
CONTR_2026_00033,Fênix Recuperação de Crédito,2026-02-25,117,"R$ 8.705,50",Acordo Firmado,7.0,Sudeste
CONTR_2026_00034,fênix recuperação de crédito,2026-02-07,61,"R$ 16.982,99",Em Aberto,46.0,Sudeste
CONTR_2026_00035,Vértice Asset & Cobrança ,2026-04-27,109,"R$ 4.160,38",Ajuizado,91.0,Sul
CONTR_2026_00036,Acerta Crédito Integrado,2026-01-21,70,2063.74,Em Aberto,15.0,sudeste
CONTR_2026_00037,Vértice Asset & Cobrança,2026-04-20,87,12536.62,Em Aberto,85.0,Centro-Oeste
CONTR_2026_00038,Fênix Recuperação de Crédito,2026-04-04,54,"R$ 12.263,84",Acordo Firmado,,Sudeste
CONTR_2026_00039,Nexus Mediação Financeira,2026-01-10,69,"R$ 2.537,24",Acordo Firmado,87.0,Sudeste
CONTR_2026_00040,Vértice Asset & Cobrança,2026-01-26,116,"R$ 2.816,68",Em Aberto,5.0,Sudeste
CONTR_2026_00041,Fênix Recuperação de Crédito,2026-04-01,103,"R$ 3.080,12",Acordo Firmado,59.0,Nordeste
CONTR_2026_00042,Vértice Asset & Cobrança,2026-01-08,120,"R$ 4.205,12",Em Aberto,70.0,sudeste
CONTR_2026_00043,Fênix Recuperação de Crédito,2026-04-13,48,"R$ 10.031,72",Ajuizado,,sudeste
CONTR_2026_00044,fênix recuperação de crédito,2026-01-08,33,"R$ 1.979,59",Insucesso,28.0,Centro-Oeste
CONTR_2026_00045,Vértice Asset & Cobrança,2026-03-01,123,"R$ 7.226,38",Acordo Firmado,54.0,Sudeste
CONTR_2026_00046,Nexus Mediação Financeira,2026-03-13,120,"R$ 3.375,50",Em Aberto,19.0,Sudeste
CONTR_2026_00047,Vértice Asset & Cobrança,2026-04-29,96,"R$ 2.288,69",Em Aberto,14.0,Sul
CONTR_2026_00048,Nexus Mediação Financeira,2026-02-03,102,"R$ 3.265,76",Em Aberto,48.0,Nordeste
CONTR_2026_00049,Nexus Mediação Financeira,2026-01-16,115,"R$ 5.010,09",Acordo Firmado,7.0,Centro-Oeste
CONTR_2026_00050,Fênix Recuperação de Crédito,2026-04-15,95,"R$ 13.917,81",Acordo Firmado,79.0,Nordeste
CONTR_2026_00051,Vértice Asset & Cobrança ,2026-01-13,106,"R$ 6.147,92",Insucesso,32.0,Sul
CONTR_2026_00052,Acerta Crédito Integrado,2026-03-28,114,"R$ 5.870,76",Acordo Firmado,22.0,Centro-Oeste
CONTR_2026_00053,fênix recuperação de crédito,2026-03-17,87,"R$ 1.775,60",Insucesso,46.0,Nordeste
CONTR_2026_00054,Acerta Crédito Integrado,2026-04-01,79,1615.83,Ajuizado,85.0,Sudeste
CONTR_2026_00055,Nexus Mediação Financeira,2026-01-22,9999,"R$ 1.893,23",Em Aberto,83.0,Centro-Oeste
CONTR_2026_00056,fênix recuperação de crédito,2026-04-06,157,"R$ 1.702,12",Em Aberto,13.0,Norte
CONTR_2026_00057,Fênix Recuperação de Crédito,2026-04-23,64,"R$ 5.494,41",Acordo Firmado,22.0,Sul
CONTR_2026_00058,Fênix Recuperação de Crédito,2026-01-27,77,"R$ 4.213,02",Acordo Firmado,10.0,Norte
CONTR_2026_00059,Fênix Recuperação de Crédito,2026-03-05,37,"R$ 1.225,02",Insucesso,44.0,Norte
CONTR_2026_00060,Vértice Asset & Cobrança,2026-01-02,103,"R$ 3.362,13",Em Aberto,24.0,Norte
CONTR_2026_00061,Vértice Asset & Cobrança,2026-04-19,74,1881.18,Acordo Firmado,59.0,Sudeste
CONTR_2026_00062,Vértice Asset & Cobrança,2026-04-07,47,"R$ 23.364,28",Ajuizado,62.0,Nordeste
CONTR_2026_00063,Acerta Crédito Integrado,2026-01-26,88,"R$ 4.282,39",Ajuizado,72.0,Sudeste
CONTR_2026_00064,Vértice Asset & Cobrança,2026-04-02,134,"R$ 3.976,73",Acordo Firmado,72.0,Nordeste
CONTR_2026_00065,Vértice Asset & Cobrança,2026-03-24,79,"R$ 6.366,57",Em Aberto,55.0,Sudeste
CONTR_2026_00066,Nexus Mediação Financeira,2026-04-17,82,"R$ 3.408,78",Em Aberto,49.0,Sudeste
CONTR_2026_00067,Fênix Recuperação de Crédito,2026-03-10,133,"R$ 7.485,37",Em Aberto,50.0,Sul
CONTR_2026_00068,Acerta Crédito Integrado,2026-04-07,89,"R$ 12.958,55",Acordo Firmado,19.0,Sudeste
CONTR_2026_00069,Fênix Recuperação de Crédito,2026-03-25,53,"R$ 4.654,72",Ajuizado,82.0,Sudeste
CONTR_2026_00070,Vértice Asset & Cobrança ,2026-01-30,110,"R$ 3.613,81",Ajuizado,58.0,Centro-Oeste
CONTR_2026_00071,Acerta Crédito Integrado,2026-04-19,123,"R$ 4.889,64",Ajuizado,97.0,Sudeste
CONTR_2026_00072,Fênix Recuperação de Crédito,2026-01-08,83,"R$ 5.826,06",Em Aberto,48.0,Sudeste
CONTR_2026_00073,Fênix Recuperação de Crédito,2026-02-07,93,"R$ 10.609,60",Acordo Firmado,93.0,Sul
CONTR_2026_00074,Acerta Crédito Integrado,2026-03-02,50,3708.33,Insucesso,96.0,Nordeste
CONTR_2026_00075,Acerta Crédito Integrado,2026-03-22,63,"R$ 1.464,01",Em Aberto,72.0,Nordeste
CONTR_2026_00076,Acerta Crédito Integrado,2026-04-18,80,6181.19,Acordo Firmado,96.0,Sudeste
CONTR_2026_00077,Acerta Crédito Integrado,2026-03-06,92,"R$ 22.867,41",Acordo Firmado,12.0,Sudeste
CONTR_2026_00078,Fênix Recuperação de Crédito,2026-03-08,71,10828.86,Em Aberto,86.0,Sudeste
CONTR_2026_00079,Vértice Asset & Cobrança,2026-02-15,78,"R$ 8.299,38",Em Aberto,20.0,Norte
CONTR_2026_00080,Fênix Recuperação de Crédito,2026-03-31,86,"R$ 2.170,97",Em Aberto,45.0,Sudeste
CONTR_2026_00081,Acerta Crédito Integrado,2026-04-05,60,"R$ 8.103,93",Ajuizado,26.0,Norte
CONTR_2026_00082,Nexus Mediação Financeira,2026-03-13,81,"R$ 1.624,94",Em Aberto,81.0,Nordeste
CONTR_2026_00083,Vértice Asset & Cobrança,2026-02-12,124,"R$ 4.605,28",Insucesso,98.0,Nordeste
CONTR_2026_00084,Fênix Recuperação de Crédito,2026-02-28,72,"R$ 3.517,32",Insucesso,31.0,Sudeste
CONTR_2026_00085,Vértice Asset & Cobrança,2026-02-15,62,"R$ 12.984,48",Insucesso,82.0,Nordeste
CONTR_2026_00086,Vértice Asset & Cobrança,2026-03-13,152,"R$ 2.070,79",Em Aberto,59.0,Sudeste
CONTR_2026_00087,Acerta Crédito Integrado,2026-02-04,96,"R$ 8.976,76",Em Aberto,3.0,Centro-Oeste
CONTR_2026_00088,Nexus Mediação Financeira,2026-02-08,66,1448.64,Em Aberto,18.0,Sul
CONTR_2026_00089,Acerta Crédito Integrado,2026-04-02,109,"R$ 7.249,20",Insucesso,84.0,Nordeste
CONTR_2026_00090,Vértice Asset & Cobrança,2026-02-20,97,"R$ 2.939,13",Em Aberto,21.0,Sudeste
CONTR_2026_00091,Fênix Recuperação de Crédito,2026-01-04,72,"R$ 19.830,50",Acordo Firmado,57.0,Sudeste
CONTR_2026_00092,Acerta Crédito Integrado,2026-03-21,88,"R$ 6.769,80",Acordo Firmado,99.0,Sul
CONTR_2026_00093,Acerta Crédito Integrado,2026-03-18,81,"R$ 3.047,39",Insucesso,42.0,Nordeste
CONTR_2026_00094,Nexus Mediação Financeira,2026-03-25,119,"R$ 2.542,80",Insucesso,62.0,Sudeste
CONTR_2026_00095,Acerta Crédito Integrado,2026-02-20,110,"R$ 6.298,67",Acordo Firmado,30.0,Nordeste
CONTR_2026_00096,Vértice Asset & Cobrança,2026-01-05,25,"R$ 2.792,29",Acordo Firmado,61.0,Sudeste
CONTR_2026_00097,Nexus Mediação Financeira,2026-02-24,147,"R$ 2.233,92",Em Aberto,36.0,Nordeste
CONTR_2026_00098,Vértice Asset & Cobrança,2026-04-11,81,"R$ 6.415,93",Ajuizado,55.0,Nordeste
CONTR_2026_00099,Fênix Recuperação de Crédito,2026-01-20,141,7641.97,Em Aberto,4.0,Nordeste
CONTR_2026_00100,Fênix Recuperação de Crédito,2026-01-24,111,"R$ 2.559,23",Em Aberto,15.0,Sul
CONTR_2026_00101,Fênix Recuperação de Crédito,2026-02-05,97,"R$ 5.037,98",Acordo Firmado,71.0,Nordeste
CONTR_2026_00102,Nexus Mediação Financeira,2026-02-03,87,"R$ 6.647,71",Em Aberto,96.0,Sudeste
CONTR_2026_00103,Vértice Asset & Cobrança,2026-04-19,172,"R$ 15.429,39",Acordo Firmado,97.0,Sudeste
CONTR_2026_00104,Nexus Mediação Financeira,2026-04-22,81,"R$ 9.333,77",Em Aberto,57.0,Sul
CONTR_2026_00105,fênix recuperação de crédito,2026-02-23,69,3930.67,Ajuizado,63.0,Nordeste
CONTR_2026_00106,Fênix Recuperação de Crédito,2026-02-03,72,"R$ 10.502,57",Acordo Firmado,77.0,NORDESTE
CONTR_2026_00107,Vértice Asset & Cobrança,2026-03-24,90,"R$ 4.114,24",Em Aberto,64.0,Nordeste
CONTR_2026_00108,Acerta Crédito Integrado,2026-01-17,89,"R$ 1.897,04",Ajuizado,17.0,Sudeste
CONTR_2026_00109,Fênix Recuperação de Crédito,2026-01-05,120,"R$ 3.285,92",Ajuizado,53.0,Sudeste
CONTR_2026_00110,Fênix Recuperação de Crédito,2026-03-30,112,"R$ 9.366,71",Insucesso,40.0,Sudeste
CONTR_2026_00111,Vértice Asset & Cobrança,2026-01-18,112,"R$ 16.795,69",Acordo Firmado,70.0,Centro-Oeste
CONTR_2026_00112,Fênix Recuperação de Crédito,2026-02-24,83,"R$ 21.747,42",Insucesso,50.0,Nordeste
CONTR_2026_00113,fênix recuperação de crédito,2026-02-22,110,"R$ 6.295,70",Acordo Firmado,68.0,Sudeste
CONTR_2026_00114,Acerta Crédito Integrado,2026-02-19,113,4453.71,Acordo Firmado,15.0,Sudeste
CONTR_2026_00115,Nexus Mediação Financeira,2026-03-13,87,"R$ 2.084,03",Acordo Firmado,72.0,Sudeste
CONTR_2026_00116,Acerta Crédito Integrado,2026-04-01,98,"R$ 1.740,85",Acordo Firmado,34.0,Nordeste
CONTR_2026_00117,Acerta Crédito Integrado,2026-03-20,113,4854.27,Em Aberto,30.0,Nordeste
CONTR_2026_00118,Fênix Recuperação de Crédito,2026-02-14,96,"R$ 7.705,71",Acordo Firmado,87.0,Sudeste
CONTR_2026_00119,Acerta Crédito Integrado,2026-01-13,99,"R$ 3.157,23",Acordo Firmado,73.0,Nordeste
CONTR_2026_00120,Nexus Mediação Financeira,2026-01-16,132,"R$ 6.814,68",Acordo Firmado,24.0,Sul
CONTR_2026_00121,Acerta Crédito Integrado,2026-03-27,96,"R$ 5.429,28",Acordo Firmado,8.0,Sudeste
CONTR_2026_00122,Acerta Crédito Integrado,2026-03-25,71,"R$ 15.329,85",Em Aberto,57.0,Sudeste
CONTR_2026_00123,Vértice Asset & Cobrança,2026-01-13,49,"R$ 2.375,81",Em Aberto,70.0,Nordeste
CONTR_2026_00124,Fênix Recuperação de Crédito,2026-01-20,93,"R$ 5.670,92",Em Aberto,25.0,Nordeste
CONTR_2026_00125,Fênix Recuperação de Crédito,2026-03-07,80,"R$ 3.870,44",Acordo Firmado,77.0,Nordeste
CONTR_2026_00126,Vértice Asset & Cobrança,2026-04-09,114,"R$ 2.716,18",Acordo Firmado,34.0,Sul
CONTR_2026_00127,Acerta Crédito Integrado,2026-02-16,137,"R$ 3.410,33",Ajuizado,25.0,Sudeste
CONTR_2026_00128,Acerta Crédito Integrado,2026-04-29,59,"R$ 2.944,49",Em Aberto,18.0,Nordeste
CONTR_2026_00129,Fênix Recuperação de Crédito,2026-01-19,63,"R$ 4.950,16",Acordo Firmado,73.0,Sul
CONTR_2026_00130,Nexus Mediação Financeira,2026-02-14,89,"R$ 5.282,84",Acordo Firmado,97.0,Nordeste
CONTR_2026_00131,Vértice Asset & Cobrança,2026-02-06,66,"R$ 11.232,45",Insucesso,70.0,Nordeste
CONTR_2026_00132,Fênix Recuperação de Crédito,2026-02-23,83,8800.4,Insucesso,14.0,Sul
CONTR_2026_00133,Fênix Recuperação de Crédito,2026-01-06,73,"R$ 3.001,37",Insucesso,6.0,Nordeste
CONTR_2026_00134,Vértice Asset & Cobrança,2026-01-14,59,"R$ 14.591,87",Acordo Firmado,82.0,Nordeste
CONTR_2026_00135,fênix recuperação de crédito,2026-01-04,114,"R$ 11.338,15",Acordo Firmado,90.0,Sudeste
CONTR_2026_00136,Vértice Asset & Cobrança,2026-03-27,92,"R$ 6.115,67",Acordo Firmado,36.0,Centro-Oeste
CONTR_2026_00137,Nexus Mediação Financeira,2026-04-25,144,"R$ 1.294,02",Em Aberto,36.0,Nordeste
CONTR_2026_00138,Acerta Crédito Integrado,2026-02-24,100,2373.15,Insucesso,75.0,Nordeste
CONTR_2026_00139,Vértice Asset & Cobrança,2026-04-13,128,"R$ 8.987,06",Em Aberto,18.0,Norte
CONTR_2026_00140,Vértice Asset & Cobrança ,2026-04-10,68,"R$ 4.223,49",Ajuizado,15.0,Sudeste
CONTR_2026_00141,Vértice Asset & Cobrança ,2026-02-03,67,"R$ 1.873,09",Em Aberto,94.0,Nordeste
CONTR_2026_00142,Vértice Asset & Cobrança,2026-01-27,156,"R$ 3.823,44",Acordo Firmado,89.0,Nordeste
CONTR_2026_00143,Vértice Asset & Cobrança,2026-01-07,71,"R$ 2.390,67",Ajuizado,16.0,Sudeste
CONTR_2026_00144,Vértice Asset & Cobrança,2026-01-03,61,12354.46,Em Aberto,76.0,Nordeste
CONTR_2026_00145,Vértice Asset & Cobrança,2026-02-16,54,"R$ 12.202,78",Em Aberto,14.0,Sudeste
CONTR_2026_00146,Fênix Recuperação de Crédito,2026-04-07,147,"R$ 3.647,46",Insucesso,,Sudeste
CONTR_2026_00147,Nexus Mediação Financeira,2026-01-02,81,"R$ 1.938,98",Em Aberto,54.0,Sul
CONTR_2026_00148,Nexus Mediação Financeira,2026-04-16,-999,"R$ 3.422,31",Ajuizado,58.0,Nordeste
CONTR_2026_00149,Fênix Recuperação de Crédito,2026-03-21,94,"R$ 1.889,07",Insucesso,77.0,Sudeste
CONTR_2026_00150,Vértice Asset & Cobrança,2026-01-25,68,"R$ 3.012,36",Acordo Firmado,30.0,Centro-Oeste
CONTR_2026_00151,fênix recuperação de crédito,2026-03-01,81,"R$ 8.574,13",Acordo Firmado,100.0,Nordeste
CONTR_2026_00152,Fênix Recuperação de Crédito,2026-03-20,115,"R$ 2.926,18",Insucesso,46.0,Nordeste
CONTR_2026_00153,Fênix Recuperação de Crédito,2026-01-24,53,"R$ 5.128,53",Acordo Firmado,16.0,sudeste
CONTR_2026_00154,Vértice Asset & Cobrança,2026-01-15,110,"R$ 1.832,77",Insucesso,1.0,Nordeste
CONTR_2026_00155,Vértice Asset & Cobrança ,2026-04-05,133,"R$ 3.335,68",Em Aberto,41.0,Centro-Oeste
CONTR_2026_00156,Fênix Recuperação de Crédito,2026-01-14,98,"R$ 1.402,22",Em Aberto,93.0,Sul
CONTR_2026_00157,Nexus Mediação Financeira,2026-02-23,130,"R$ 5.172,23",Insucesso,27.0,Sudeste
CONTR_2026_00158,Acerta Crédito Integrado,2026-03-19,48,"R$ 3.335,66",Em Aberto,77.0,Sul
CONTR_2026_00159,Fênix Recuperação de Crédito,2026-01-06,35,11478.78,Em Aberto,62.0,Nordeste
CONTR_2026_00160,Acerta Crédito Integrado,2026-03-19,97,"R$ 3.692,45",Acordo Firmado,81.0,Sul
CONTR_2026_00161,Vértice Asset & Cobrança,2026-03-22,72,"R$ 5.279,68",Em Aberto,28.0,Sul
CONTR_2026_00162,Nexus Mediação Financeira,2026-01-18,116,"R$ 19.984,53",Em Aberto,,Nordeste
CONTR_2026_00163,Nexus Mediação Financeira,2026-01-20,80,"R$ 6.345,98",Em Aberto,55.0,Sudeste
CONTR_2026_00164,Nexus Mediação Financeira,2026-04-25,94,"R$ 4.670,46",Em Aberto,51.0,Norte
CONTR_2026_00165,Fênix Recuperação de Crédito,2026-03-03,92,"R$ 1.716,40",Em Aberto,69.0,Norte
CONTR_2026_00166,Acerta Crédito Integrado,2026-03-22,93,"R$ 9.800,85",Ajuizado,88.0,sudeste
CONTR_2026_00167,Vértice Asset & Cobrança,2026-03-21,73,"R$ 6.341,47",Em Aberto,73.0,Sudeste
CONTR_2026_00168,Fênix Recuperação de Crédito,2026-02-09,49,"R$ 1.774,39",Em Aberto,97.0,Nordeste
CONTR_2026_00169,Fênix Recuperação de Crédito,2026-02-08,83,"R$ 2.609,62",Acordo Firmado,34.0,Sudeste
CONTR_2026_00170,Nexus Mediação Financeira,2026-02-21,133,"R$ 5.057,14",Acordo Firmado,27.0,Sul
CONTR_2026_00171,Nexus Mediação Financeira,2026-02-01,71,"R$ 1.430,55",Ajuizado,97.0,Nordeste
CONTR_2026_00172,Fênix Recuperação de Crédito,2026-04-18,71,"R$ 7.534,74",Em Aberto,38.0,Sul
CONTR_2026_00173,Nexus Mediação Financeira,2026-03-14,94,"R$ 2.492,52",Em Aberto,29.0,Centro-Oeste
CONTR_2026_00174,Fênix Recuperação de Crédito,2026-01-27,54,"R$ 4.563,89",Em Aberto,35.0,Sul
CONTR_2026_00175,Nexus Mediação Financeira,2026-04-20,120,"R$ 2.583,01",Acordo Firmado,20.0,Nordeste
CONTR_2026_00176,Fênix Recuperação de Crédito,2026-02-21,57,"R$ 4.558,76",Insucesso,19.0,Sul
CONTR_2026_00177,Nexus Mediação Financeira,2026-04-07,81,"R$ 2.251,62",Acordo Firmado,5.0,Nordeste
CONTR_2026_00178,Vértice Asset & Cobrança,2026-03-04,166,"R$ 5.706,03",Em Aberto,25.0,Nordeste
CONTR_2026_00179,fênix recuperação de crédito,2026-03-15,55,"R$ 13.262,38",Insucesso,93.0,Sul
CONTR_2026_00180,Fênix Recuperação de Crédito,2026-03-04,134,"R$ 9.434,04",Acordo Firmado,26.0,Sul
CONTR_2026_00181,Vértice Asset & Cobrança,2026-01-17,93,"R$ 2.582,20",Acordo Firmado,51.0,Nordeste
CONTR_2026_00182,Fênix Recuperação de Crédito,2026-04-23,97,"R$ 4.646,87",Insucesso,66.0,Norte
CONTR_2026_00183,fênix recuperação de crédito,2026-02-18,65,"R$ 3.950,50",Insucesso,61.0,Nordeste
CONTR_2026_00184,Acerta Crédito Integrado,2026-04-10,113,"R$ 18.030,38",Em Aberto,15.0,Sudeste
CONTR_2026_00185,Vértice Asset & Cobrança,2026-03-22,79,"R$ 9.217,80",Acordo Firmado,45.0,Centro-Oeste
CONTR_2026_00186,Nexus Mediação Financeira,2026-03-23,55,"R$ 1.768,24",Em Aberto,6.0,Sudeste
CONTR_2026_00187,Acerta Crédito Integrado,2026-04-26,133,"R$ 2.122,94",Acordo Firmado,58.0,Sudeste
CONTR_2026_00188,Nexus Mediação Financeira,2026-01-23,78,"R$ 7.253,79",Em Aberto,1.0,Nordeste
CONTR_2026_00189,Nexus Mediação Financeira,2026-04-08,34,2070.92,Em Aberto,73.0,Nordeste
CONTR_2026_00190,Fênix Recuperação de Crédito,2026-03-13,81,"R$ 16.225,74",Acordo Firmado,43.0,Nordeste
CONTR_2026_00191,Fênix Recuperação de Crédito,2026-01-13,114,"R$ 25.971,40",Em Aberto,16.0,Sudeste
CONTR_2026_00192,Acerta Crédito Integrado,2026-01-23,109,"R$ 8.733,75",Em Aberto,14.0,Sudeste
CONTR_2026_00193,fênix recuperação de crédito,2026-02-26,70,"R$ 1.335,83",Em Aberto,74.0,Sul
CONTR_2026_00194,Nexus Mediação Financeira,2026-03-03,60,"R$ 4.495,92",Em Aberto,19.0,Nordeste
CONTR_2026_00195,Vértice Asset & Cobrança,2026-02-23,49,"R$ 3.805,05",Ajuizado,51.0,Sul
CONTR_2026_00196,Vértice Asset & Cobrança,2026-01-20,89,"R$ 9.235,59",Insucesso,8.0,Sudeste
CONTR_2026_00197,Acerta Crédito Integrado,2026-03-27,94,"R$ 2.891,43",Ajuizado,48.0,Sudeste
CONTR_2026_00198,Acerta Crédito Integrado,2026-04-21,111,3639.83,Acordo Firmado,12.0,Nordeste
CONTR_2026_00199,Acerta Crédito Integrado,2026-02-21,85,"R$ 1.690,83",Acordo Firmado,70.0,Nordeste
CONTR_2026_00200,Acerta Crédito Integrado,2026-01-23,84,"R$ 3.297,59",Ajuizado,35.0,Sul
CONTR_2026_00201,Nexus Mediação Financeira,2026-04-15,81,"R$ 19.420,27",Em Aberto,70.0,Nordeste
CONTR_2026_00202,Fênix Recuperação de Crédito,2026-02-04,94,"R$ 15.449,50",Acordo Firmado,6.0,Nordeste
CONTR_2026_00203,Fênix Recuperação de Crédito,2026-03-08,85,"R$ 8.136,66",Em Aberto,99.0,Norte
CONTR_2026_00204,Acerta Crédito Integrado,2026-02-03,118,"R$ 13.089,97",Em Aberto,11.0,NORDESTE
CONTR_2026_00205,Nexus Mediação Financeira,2026-02-02,99,"R$ 2.386,03",Ajuizado,38.0,Nordeste
CONTR_2026_00206,Fênix Recuperação de Crédito,2026-02-15,93,"R$ 6.062,08",Insucesso,91.0,Sudeste
CONTR_2026_00207,Fênix Recuperação de Crédito,2026-03-22,88,"R$ 4.665,46",Em Aberto,26.0,Sudeste
CONTR_2026_00208,Nexus Mediação Financeira,2026-02-14,61,"R$ 3.946,88",Em Aberto,,Sudeste
CONTR_2026_00209,Fênix Recuperação de Crédito,2026-01-19,89,"R$ 3.163,99",Em Aberto,72.0,Nordeste
CONTR_2026_00210,Fênix Recuperação de Crédito,2026-04-04,70,"R$ 11.261,52",Insucesso,89.0,Sudeste
CONTR_2026_00211,Nexus Mediação Financeira,2026-03-28,100,"R$ 4.513,14",Insucesso,83.0,Sudeste
CONTR_2026_00212,Nexus Mediação Financeira,2026-01-15,83,"R$ 7.637,38",Ajuizado,80.0,Sudeste
CONTR_2026_00213,Nexus Mediação Financeira,2026-03-19,139,"R$ 7.320,03",Ajuizado,50.0,Sul
CONTR_2026_00214,Fênix Recuperação de Crédito,2026-03-07,52,"R$ 1.931,32",Em Aberto,58.0,Nordeste
CONTR_2026_00215,Acerta Crédito Integrado,2026-02-08,15,"R$ 1.450,87",Acordo Firmado,26.0,Sudeste
CONTR_2026_00216,Fênix Recuperação de Crédito,2026-04-23,98,"R$ 10.361,76",Em Aberto,44.0,Centro-Oeste
CONTR_2026_00217,Vértice Asset & Cobrança,2026-01-18,70,4569.86,Insucesso,,Norte
CONTR_2026_00218,Acerta Crédito Integrado,2026-03-11,94,"R$ 9.505,91",Acordo Firmado,76.0,Sudeste
CONTR_2026_00219,Nexus Mediação Financeira,2026-02-28,52,"R$ 2.962,46",Em Aberto,24.0,Sudeste
CONTR_2026_00220,Acerta Crédito Integrado,2026-02-01,147,"R$ 11.096,42",Em Aberto,77.0,Sul
CONTR_2026_00221,Nexus Mediação Financeira,2026-01-21,78,"R$ 10.083,97",Em Aberto,59.0,Nordeste
CONTR_2026_00222,Nexus Mediação Financeira,2026-02-09,68,"R$ 3.603,68",Em Aberto,57.0,Sudeste
CONTR_2026_00223,Fênix Recuperação de Crédito,2026-04-02,146,"R$ 3.852,57",Acordo Firmado,17.0,Nordeste
CONTR_2026_00224,Vértice Asset & Cobrança,2026-01-27,115,"R$ 3.360,78",Insucesso,77.0,Sudeste
CONTR_2026_00225,Vértice Asset & Cobrança,2026-01-02,131,1377.22,Insucesso,,Sul
